fold,ensemble_auc,mean_seed_auc,best_seed_auc,seed_42_auc,seed_123_auc,seed_2024_auc
0,0.9457009171455598,0.9417812766463592,0.9425623603270774,0.942283657901965,0.9404978117100352,0.9425623603270774
1,0.9572935182021189,0.9527066955688568,0.9542419636222094,0.9533869110862699,0.9542419636222094,0.9504912119980911
2,0.9505821476917777,0.9455478454359141,0.9475779707088415,0.9441610216018625,0.9449045439970382,0.9475779707088415
3,0.9590962682875726,0.9552776505961972,0.9558328167898252,0.9550193888372915,0.9549807461614751,0.9558328167898252
4,0.9475527988864458,0.9473796204963914,0.9478382955394161,0.9471536845765721,0.947146881373186,0.9478382955394161
