epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.05809814386648705,0.012855895571452234,0.9546251019879624,0.13359574973583221,0.78993361945035,0.015794171340020143,0.9501443205689182,0.0001,84.82867980003357
2,0.019642616827712133,0.013033771313660378,0.952619041977368,0.040435458223025,0.9064134576410752,0.01358571914106346,0.9541435512566462,9.797667403204415e-05,84.53820705413818
3,0.012219656025990844,0.0129865476192208,0.9531732718879062,0.03905145823955536,0.9267088997613737,0.013513023971187832,0.9552341957239212,9.207061396491751e-05,84.85926079750061
4,0.010674830313734207,0.013096381636777161,0.9527211041988369,0.03801961988210678,0.9421612027806627,0.013597942195350729,0.9550226796075172,8.276029366056701e-05,84.8885715007782
5,0.010087770622785765,0.013053253182858628,0.9539436552713689,0.03826426590482394,0.9393885640410596,0.013576658530438547,0.9559574987363683,7.079997989944426e-05,84.9150242805481
6,0.009709330880804709,0.012995979768415314,0.9529290428063337,0.037644607946276665,0.9428332788704926,0.01350928341720678,0.9552765160010444,5.715862617175061e-05,85.1681809425354
7,0.009403457478116694,0.012977631510044116,0.9523126816545638,0.037276542435089745,0.9500779381541881,0.013482122580937454,0.954857691509345,4.294137382824943e-05,85.30437898635864
8,0.009142909813588401,0.01321572585584363,0.9538408741084626,0.03728915316363176,0.9511466015041198,0.013720355058914018,0.9563876392482719,2.930002010055579e-05,85.32237839698792
9,0.008972488756937621,0.013039408886730339,0.9539887796858053,0.036531565710902214,0.9530820216345661,0.013538205002540755,0.9565657155911073,1.733970633943302e-05,85.71511340141296
10,0.008949927157126702,0.01301781709480565,0.9535581591374915,0.03683174525698026,0.9563281252029849,0.01352240987685754,0.9562342680268644,8.029386035082507e-06,86.50629258155823
11,0.008913727992671533,0.012924577658330756,0.9544164512920863,0.03547613757352034,0.9622256888960703,0.013395674641064385,0.9572550911612049,2.123325967955857e-06,86.71474027633667
12,0.008844647273370946,0.012925841086793557,0.9538071203302234,0.036172825222214065,0.9580861053158977,0.013423322411989303,0.9565910479487267,1e-07,87.40273642539978
