epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.05081799697143504,0.012206825817859656,0.9605642772777357,0.2752651572227478,0.5721616769973152,0.016929519210274503,0.9486500476705962,0.0001,102.12208914756775
2,0.018873996208820423,0.012356295283917372,0.9602792874609766,0.10241083055734634,0.7818220040546932,0.013990386323261578,0.9616509190290041,9.797667403204415e-05,101.45186591148376
3,0.01221154231802552,0.012442003587378306,0.9590202309421015,0.10576795041561127,0.8062919273422922,0.014135158822698666,0.9603893386818184,9.207061396491751e-05,101.06981658935547
4,0.010881922184175032,0.012427278991520137,0.9599770248436492,0.10083290375769138,0.8424936760502139,0.014030463148765595,0.9610268922139221,8.276029366056701e-05,100.79869985580444
5,0.01007581838335305,0.012429442239908484,0.959274520294637,0.09407144598662853,0.8550222971162782,0.013909908926394661,0.961335190495003,7.079997989944426e-05,101.99567174911499
6,0.009759507934890083,0.012423600561010677,0.9586548790061148,0.08838167414069176,0.8776500971519523,0.013799346254034115,0.9618439631071812,5.715862617175061e-05,101.4147322177887
7,0.009610741991268655,0.012402876792056067,0.9591725322915624,0.086143609136343,0.87683634069102,0.013738771438994239,0.9620301722530518,4.294137382824943e-05,101.6435866355896
8,0.009286566065867675,0.01237294142058975,0.9595113723291419,0.09146701730787754,0.8835361813438981,0.013805558530003887,0.9618017019958092,2.930002010055579e-05,102.4435043334961
9,0.009132897784946033,0.012404767477566057,0.9590880869250404,0.0854552872478962,0.8943495510568154,0.013726341191975943,0.9623625874312275,1.733970633943302e-05,102.16353178024292
10,0.00902134415049626,0.012356685227001304,0.9593306001208625,0.08250319585204124,0.8949486299121578,0.013625165377537498,0.9626131917632748,8.029386035082507e-06,91.18186140060425
11,0.009026395841837264,0.012426060188125383,0.959077716674308,0.08183147013187408,0.8988270175810125,0.013681665779940323,0.9624010534435327,2.123325967955857e-06,85.43859672546387
12,0.009006136420564642,0.012472901463944901,0.9591831188153715,0.08135557547211647,0.8969879937550613,0.013719446219470912,0.962596998950828,1e-07,85.46440887451172
