epoch,train_loss,val_loss,val_auc,lr,time_s
1,0.29607717587973353,0.066181595160349,0.5163170108354532,0.000505,78.1337640285492
2,0.03008181440669137,0.0294595913340648,0.5372855134905111,0.001,76.94936895370483
3,0.029754488047229143,0.02880292112293007,0.6561556873625983,0.0009968564193361268,76.60923075675964
4,0.028257169637006817,0.025320708885923162,0.8142445393952974,0.0009874652096953027,76.62523674964905
5,0.026526227706690896,0.02264113123486708,0.8688731581349258,0.0009719444709876682,76.70647597312927
6,0.024860085806230437,0.020517282204719278,0.893198265041144,0.0009504893855078143,76.54075765609741
7,0.023473160218673985,0.018830157224894374,0.9082855007643783,0.0009233697634041805,76.3815906047821
8,0.02267960484164792,0.01804897602362273,0.9127108637331954,0.0008909266496598915,76.42945170402527
9,0.02186776311367515,0.01680664857429964,0.9256711661142129,0.0008535680352542144,76.5092523097992
10,0.02119110851770955,0.016003756653853098,0.9324138059796204,0.0008117637264392739,76.53162240982056
11,0.020686404487990716,0.015402959378620793,0.9388320628590968,0.0007660394366538426,76.52580952644348
12,0.020151404053526552,0.015103633851148523,0.9388582710043436,0.0007169701753718232,76.38071990013123
13,0.01979360908483835,0.014784509915992752,0.9420801825118494,0.0006651730170244859,76.4800283908844
14,0.01950306545519312,0.014317857776978263,0.9447054763955914,0.0006112993409314594,76.50085711479187
15,0.019050296509286035,0.013901140775766459,0.9476272937635848,0.0005560266398278487,76.46797180175781
16,0.01885078468271909,0.013674258455835484,0.9498468371571384,0.0005000500000000001,76.52259635925293
17,0.018513183984150354,0.013313527239973212,0.9523455479239137,0.00044407336017215156,76.2650945186615
18,0.01819382964943846,0.013236654729389393,0.9523879337157629,0.0003888006590685408,76.35897731781006
19,0.01795866440767674,0.013089570476933642,0.9536077396452013,0.00033492698297551434,76.24962401390076
20,0.017647465247333655,0.012898862852740127,0.954794162432186,0.000283129824628177,76.0618166923523
21,0.017360822853489635,0.012674064736242767,0.9560085877130247,0.00023406056334615766,76.49823808670044
22,0.017241780189923138,0.012691677564771863,0.9548741139769342,0.0001883362735607263,76.30298662185669
23,0.017089635648697546,0.012711247131396253,0.9535676687355088,0.00014653196474578568,76.2355146408081
24,0.0168804536135196,0.012507326825446374,0.9540951813096944,0.00010917335034010874,76.02962183952332
25,0.01664596154283195,0.012400933738529414,0.9561953480710175,7.67302365958194e-05,76.08607959747314
26,0.016690101698963896,0.012294729185701759,0.9570786420467566,4.961061449218563e-05,76.05255389213562
27,0.01653934930669362,0.012255988209634213,0.9577962590633983,2.8155529012331642e-05,75.95969033241272
28,0.016581793122731888,0.012178193093990689,0.958525922595108,1.2634790304697232e-05,76.0444085597992
29,0.01630764668345921,0.01223683507005508,0.9581141893007853,3.2435806638733613e-06,76.00375723838806
30,0.016534234845994023,0.012186676209272296,0.9583111517187487,1e-07,76.09447932243347
