epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.03662458059340212,0.01350913881989462,0.9365765555120333,0.0972012293835481,0.7818536092842854,0.015620789972640443,0.9403233358458869,0.0001,145.5573456287384
2,0.013598227167611119,0.014463203029923275,0.9361614663735827,0.07819536079963048,0.9043061743972234,0.01604213930968718,0.9353334099811778,9.698764640825613e-05,144.5888168811798
3,0.01150743648156037,0.014362254221591033,0.9380419004225493,0.08606024955709775,0.8780986009714845,0.016112354918987604,0.932830392404565,8.831391993379294e-05,144.90379071235657
4,0.01107650808255851,0.014315709047618188,0.9395920580623056,0.09161294375856717,0.8862240616414265,0.016236095534016688,0.9371430716725675,7.5025e-05,144.73517632484436
5,0.010612786077864905,0.014265697066938239,0.9405995432340407,0.09752018749713898,0.8823414072668485,0.01631742750964405,0.9382695167710156,5.8723726474463174e-05,144.73604249954224
6,0.010123370416663788,0.013729697646340355,0.94074320053882,0.09572211032112439,0.869281734143956,0.015762820100542484,0.9391050527349595,4.137627352553683e-05,144.83943343162537
7,0.009680117832062565,0.013345189114001446,0.9400230768681541,0.09524707620342572,0.8927850680570032,0.01538916510987308,0.9381254399186488,2.5075000000000006e-05,144.84336805343628
8,0.009358027198997972,0.013081534354049447,0.9431272151067708,0.09353329862157504,0.8913783761402135,0.015067016750802858,0.941729201957414,1.1786080066207052e-05,144.84828639030457
9,0.009080166427412297,0.013017555183198835,0.9431728100939376,0.1008628395696481,0.8875864540019379,0.015167916414180868,0.9400081429659018,3.112353591743879e-06,144.81066179275513
10,0.008932068920379656,0.013005160759868366,0.9441610216018625,0.1033143550157547,0.8840970346395004,0.015223543796884386,0.9417867808699785,1e-07,145.06978368759155
