epoch,train_loss,val_loss,val_auc,lr,time_s
1,0.287245,0.065705,0.501760,0.00050500,76.6
2,0.030161,0.029655,0.569109,0.00100000,72.4
3,0.027816,0.025108,0.814872,0.00099686,71.3
4,0.023941,0.020902,0.883542,0.00098747,71.1
5,0.021503,0.019040,0.902093,0.00097194,71.3
6,0.019717,0.017442,0.922682,0.00095049,71.4
7,0.018338,0.016396,0.925984,0.00092337,71.2
8,0.017371,0.016009,0.923224,0.00089093,71.5
9,0.016556,0.015395,0.936652,0.00085357,71.7
10,0.015814,0.014899,0.942725,0.00081176,71.5
11,0.015308,0.014176,0.945754,0.00076604,71.7
12,0.014743,0.013997,0.949427,0.00071697,71.7
13,0.014357,0.014126,0.945954,0.00066517,71.9
14,0.013952,0.013485,0.949403,0.00061130,71.5
15,0.013483,0.013615,0.949356,0.00055603,71.4
16,0.013054,0.013245,0.948208,0.00050005,71.5
17,0.012662,0.013318,0.950856,0.00044407,71.4
18,0.012338,0.013139,0.951950,0.00038880,71.4
19,0.012012,0.013104,0.949443,0.00033493,71.6
20,0.011650,0.013186,0.949962,0.00028313,71.5
21,0.011481,0.012931,0.951292,0.00023406,71.5
22,0.011063,0.012923,0.952795,0.00018834,71.5
23,0.010879,0.012918,0.951512,0.00014653,71.4
24,0.010671,0.013082,0.951654,0.00010917,71.5
25,0.010572,0.012757,0.953458,0.00007673,72.6
26,0.010366,0.013111,0.951893,0.00004961,72.6
27,0.010197,0.012882,0.952580,0.00002816,71.9
28,0.010165,0.012783,0.951481,0.00001263,71.9
29,0.010098,0.012800,0.952747,0.00000324,72.6
30,0.010089,0.012894,0.951721,0.00000010,72.7
