epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.053891183453956035,0.012301621817251933,0.9453977486538923,0.090880552927653,0.7542091420003585,0.01424202914022955,0.9474949575557424,5e-05,173.8524465560913
2,0.015491617324883706,0.012080261194829032,0.94657368464684,0.044310243179400764,0.8570293012054504,0.012871446796660229,0.9488270897088393,4.849533088860842e-05,175.49564957618713
3,0.009149819211604342,0.01227487128926441,0.9443707540859604,0.047467843939860664,0.845898021646902,0.013129923888890628,0.9467867907675408,4.41628088558185e-05,176.30494499206543
4,0.008234794223565725,0.01222459445749077,0.9416953662964557,0.05188075080513954,0.8516946284331125,0.013183885043601325,0.9421855167516792,3.7525000000000004e-05,177.09002113342285
5,0.007754489882253446,0.012262052789862667,0.9434553954014187,0.055049908657868706,0.8368867774534985,0.013306929782980629,0.9429475064012116,2.9382522032789918e-05,177.54719948768616
6,0.007573137175436509,0.01223461385234259,0.9401226760070432,0.055315772692362465,0.8490686382412143,0.01328588856727277,0.9408195870459877,2.071747796721009e-05,177.84069991111755
7,0.007255599923696168,0.012317607333118628,0.9403065471531734,0.05543785293896993,0.8358077865780511,0.013367119665960209,0.9398797440497338,1.2575000000000008e-05,177.89565134048462
8,0.007132652149848254,0.012239464853856978,0.9395106315942412,0.05475794772307078,0.8495664032767551,0.013278021219823705,0.9402964706031225,5.937191144181502e-06,177.76039576530457
9,0.006998636803342248,0.01219137488182501,0.9400718855797146,0.0559424323340257,0.8413821052804731,0.013261444752284308,0.9401685462849452,1.604669111391588e-06,178.19925355911255
10,0.006996042057106204,0.012174428952026315,0.9398775052582159,0.05573591589927673,0.8406371711817,0.013239869161656028,0.9393731853408182,1e-07,178.12120723724365
