epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.03873432027847246,0.013624456010523948,0.9464531235267973,0.06225520372390747,0.7939160526742205,0.0149042125292972,0.9463512642249611,0.0001,145.30346775054932
2,0.013765145012970409,0.014279876395153839,0.9465821144931921,0.04307872677842776,0.9038913453303121,0.015037740878924205,0.9485499418619535,9.698764640825613e-05,144.57293820381165
3,0.011599145357723575,0.01494614488806005,0.9444245238205363,0.05249157299598058,0.876910735447442,0.015934182469847433,0.9461279732059432,8.831391993379294e-05,144.53769993782043
4,0.011062203679938574,0.014112376859663305,0.9482674520337964,0.04752422496676445,0.8764638675011818,0.014991636020376495,0.9499202393484056,7.5025e-05,144.51029181480408
5,0.010623209024800474,0.013944269602631664,0.9482698775517223,0.058315180242061615,0.8841681238029349,0.015111925145774557,0.9493536565528278,5.8723726474463174e-05,144.46886348724365
6,0.01015002357821727,0.013515917936692367,0.9484402060633258,0.057588050762812294,0.8708598287602101,0.014675710905800787,0.9492121510642034,4.137627352553683e-05,144.49835443496704
7,0.00966720117532925,0.013350613503339322,0.9530752232455848,0.060145692278941475,0.8879264698648601,0.014582062944802538,0.9525456361919918,2.5075000000000006e-05,144.9292664527893
8,0.009388551802158373,0.013071517875367726,0.9534804573504142,0.056748403857151665,0.8805473033176461,0.01422090961173046,0.9543930142609741,1.1786080066207052e-05,144.7287950515747
9,0.009091125580173842,0.013106109654144929,0.9545885079700762,0.0592640166481336,0.8792739374047603,0.01432079141714463,0.9552511181444819,3.112353591743879e-06,144.5293619632721
10,0.008862814314606777,0.012910363021063374,0.9550193888372915,0.05754603569706281,0.8842220676304581,0.014084985986221255,0.9560249105365047,1e-07,144.60273337364197
