epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.05902357104754596,0.012817198460522507,0.954569304885429,0.13316214581330618,0.7891539201298867,0.015749753779617317,0.950012393389585,0.0001,110.38234114646912
2,0.01959945009245227,0.012913579744885542,0.9537146394154092,0.04004822360972563,0.9102314213577948,0.01346267156074183,0.9552932536058009,9.797667403204415e-05,107.8327043056488
3,0.012230721758028308,0.012964072774463733,0.9544127577618313,0.03854886877040068,0.9298310722777426,0.013483828771042457,0.9565801167066227,9.207061396491751e-05,107.95218062400818
4,0.010752982935587128,0.012954747184786746,0.9537601553608954,0.03661633220811685,0.9420421033073478,0.013429562607167387,0.9561264362113299,8.276029366056701e-05,119.85717916488647
5,0.01009101288598702,0.012994100047632986,0.9541245726355961,0.03783434070646763,0.9446113706301272,0.013507092836223086,0.956530547691521,7.079997989944426e-05,130.5069100856781
6,0.009636067947884602,0.013134044880903925,0.9527313699203018,0.03774475740889708,0.9510705386568434,0.013625421237584465,0.9554523424717415,5.715862617175061e-05,127.2423644065857
7,0.009424084505414473,0.013027375723010794,0.953417045947251,0.03636975710590681,0.9588299726539583,0.013488846513434526,0.9562363808656968,4.294137382824943e-05,124.13471841812134
8,0.009217827273574699,0.012969301880470343,0.9537197572186814,0.03785190420846144,0.952898685281899,0.013479495829526792,0.956379996408008,2.930002010055579e-05,123.5262520313263
9,0.009101447508762683,0.01298415357554664,0.9535374418011191,0.037870716924468674,0.9554417316800962,0.013488921281685563,0.9563621894415916,1.733970633943302e-05,124.29651069641113
10,0.008840115774718642,0.012977617682606381,0.9543097075567285,0.03630794398486614,0.9616716132316396,0.013450256162813227,0.9571193063342806,8.029386035082507e-06,122.95951318740845
11,0.00894060403083426,0.01296838257465944,0.9539738220461659,0.037326887249946594,0.9562083079421465,0.013466640956609984,0.9567524383602374,2.123325967955857e-06,122.18376779556274
12,0.00890340140196369,0.01304187519001841,0.9538992281643012,0.03742362434665362,0.9586831532018402,0.013537147047668042,0.9566650633295889,1e-07,122.72103691101074
