epoch,train_loss,val_loss,val_auc,lr,time_s
1,0.289876,0.066195,0.491126,0.00050500,69.6
2,0.030151,0.029547,0.540797,0.00100000,71.3
3,0.028159,0.024983,0.798768,0.00099686,72.3
4,0.024286,0.021606,0.872940,0.00098747,73.8
5,0.021801,0.018999,0.888813,0.00097194,71.6
6,0.019996,0.017460,0.917817,0.00095049,71.5
7,0.018554,0.016163,0.926156,0.00092337,71.9
8,0.017552,0.015375,0.930550,0.00089093,72.0
9,0.016796,0.015226,0.931305,0.00085357,73.0
10,0.015989,0.014669,0.940640,0.00081176,72.4
11,0.015566,0.014069,0.942517,0.00076604,72.8
12,0.014861,0.013961,0.944137,0.00071697,72.8
13,0.014493,0.013606,0.945793,0.00066517,72.8
14,0.014003,0.013484,0.947093,0.00061130,72.8
15,0.013591,0.013055,0.951108,0.00055603,73.0
16,0.013141,0.013027,0.950015,0.00050005,73.0
17,0.012851,0.012768,0.950927,0.00044407,73.2
18,0.012475,0.012693,0.946643,0.00038880,73.1
19,0.012191,0.012593,0.947072,0.00033493,73.3
20,0.011709,0.012401,0.948095,0.00028313,73.2
21,0.011501,0.012452,0.946858,0.00023406,73.2
22,0.011282,0.012297,0.953542,0.00018834,73.4
23,0.010984,0.012352,0.950834,0.00014653,73.5
24,0.010845,0.012288,0.953408,0.00010917,73.4
25,0.010582,0.012331,0.949469,0.00007673,73.3
26,0.010529,0.012245,0.948367,0.00004961,73.4
27,0.010414,0.012098,0.950139,0.00002816,73.4
28,0.010310,0.012144,0.952072,0.00001263,73.3
29,0.010299,0.012145,0.950801,0.00000324,73.4
30,0.010197,0.012217,0.951273,0.00000010,73.6
