epoch,train_loss,val_loss,val_auc,lr,time_s
1,0.22192569131971346,0.034325255397041995,0.49797097267115187,0.0003,157.77331376075745
2,0.030211877782602568,0.02575800064784874,0.768855657796861,0.00029795487744523817,160.02354216575623
3,0.024789939143669767,0.019823565796416785,0.8641247780948959,0.0002918752953930101,163.81095027923584
4,0.021025266871695314,0.017113506024803167,0.900822612860692,0.00028192708899341297,166.33408284187317
5,0.019034867673097096,0.015935411377410804,0.9075216152556044,0.0002683816193839892,167.36275625228882
6,0.017740343548441388,0.014815583525757705,0.9257336738025989,0.0002516083716652799,167.9292712211609
7,0.016587159845994803,0.014520385470989692,0.9267201828212518,0.0002320648763104579,168.76455736160278
8,0.015631202098112217,0.013792031548551418,0.9347515637155964,0.00021028422892671277,168.94936680793762
9,0.014809478592937225,0.013451017480942287,0.9284393302246599,0.00018686054879676282,169.44370555877686
10,0.014052074410961018,0.013139219472317823,0.9411136959507265,0.00016243277285357625,169.95197534561157
11,0.013452602526789682,0.012727259192615747,0.9373450395287654,0.00013766722714642378,169.57567286491394
12,0.01285228276780496,0.01251698966163011,0.9425684804737592,0.00011323945120323721,170.03378438949585
13,0.01213149325492129,0.012443762210231009,0.9398439361536249,8.981577107328724e-05,169.6962854862213
14,0.011732907002993129,0.012200242214021273,0.9408865222446765,6.803512368954207e-05,170.08192992210388
15,0.011101453565585485,0.012091411599872768,0.9420896037270371,4.849162833472016e-05,170.07664227485657
16,0.01071221747767046,0.01201900522158082,0.940586917551409,3.17183806160108e-05,169.9552140235901
17,0.01042103200945332,0.01205723281392628,0.9414768538900613,1.817291100658698e-05,170.13228631019592
18,0.010175699204770714,0.011946957795381812,0.94042948722652,8.224704606989821e-06,170.06652784347534
19,0.01008660249676354,0.011915908215866824,0.942254001520434,2.145122554761788e-06,170.2483355998993
20,0.009983871143147652,0.011864733957086824,0.9427374215780063,1e-07,170.3743417263031
