epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.037034365161833865,0.013565454187171002,0.9357084135286832,0.09758489454785983,0.7856347441805563,0.01568434358443738,0.9396234735767363,0.0001,145.01575207710266
2,0.01362217113014881,0.014662359550129622,0.9348009559261367,0.07512110471725464,0.9183108199460076,0.016162287443876266,0.9382584742396382,9.698764640825613e-05,144.6695921421051
3,0.011548930546793214,0.01450131880535212,0.9381202917567499,0.08185718208551407,0.902460529119167,0.016163153136802607,0.9398738818113418,8.831391993379294e-05,144.97135162353516
4,0.011066622496687446,0.014218045157446926,0.9393795203024982,0.09613772357503574,0.9032653847614558,0.01623546970158554,0.9360289572527297,7.5025e-05,144.54875659942627
5,0.010647292784310307,0.014036259774002247,0.938312689775433,0.09694221739967664,0.90874968045388,0.016079068904856973,0.939494698747148,5.8723726474463174e-05,144.59909796714783
6,0.01013088223591514,0.013650340032264856,0.9406148825005994,0.10101966187357903,0.8953545770853548,0.01579888545287152,0.9370489837694636,4.137627352553683e-05,144.58032774925232
7,0.009616462860428434,0.013465360836042757,0.9413773156781086,0.09518695622682571,0.8855259515348491,0.015451822999717766,0.9403623335152136,2.5075000000000006e-05,144.72491669654846
8,0.009370644174375664,0.013254000614064612,0.9446070953756712,0.09866003443797429,0.897338432357266,0.015357180637421837,0.9431041109841951,1.1786080066207052e-05,144.67839574813843
9,0.009002010753590127,0.012972718690954415,0.9437868631183844,0.09586064393321674,0.8935318305423048,0.015008222299480909,0.9426577690611943,3.112353591743879e-06,144.69474506378174
10,0.008862994841209755,0.013060915400274098,0.9449045439970382,0.0983488770822684,0.891851148562531,0.015150479204429869,0.9436494034119536,1e-07,144.52420043945312
