epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.036836750813768256,0.013541306526998855,0.9358756764651572,0.09645465388894081,0.7846095443552858,0.01563435610743207,0.9398674809512287,0.0001,145.20361590385437
2,0.013741948143138576,0.014335966623288445,0.9372264669438599,0.08157579600811005,0.9071245985187913,0.01600810943024331,0.9382079903019146,9.698764640825613e-05,144.20406794548035
3,0.011499351321568561,0.014423652119668466,0.9405249439802849,0.09101492290695508,0.8985666151086025,0.01636834677080052,0.9398493735870476,8.831391993379294e-05,144.53669095039368
4,0.0110617664706608,0.014025109786806362,0.9392975836656409,0.0907004786034425,0.8767081835493783,0.01595733187308437,0.9326977792356027,7.5025e-05,144.3851375579834
5,0.010768838986903345,0.013970454119511746,0.9413577233360947,0.08805545171101888,0.8990316636736568,0.01580437343453237,0.9392465772571827,5.8723726474463174e-05,144.69095969200134
6,0.010163482616294746,0.01357251093681303,0.9446815879438181,0.0992950772245725,0.8824345157256366,0.015693257462739814,0.9386132097161983,4.137627352553683e-05,144.53138947486877
7,0.009628536928495442,0.013487582980555348,0.9455203214959411,0.09816445782780647,0.889690895844709,0.015565154914695182,0.9388742091733645,2.5075000000000006e-05,144.43866300582886
8,0.009309557337064279,0.01318815371320982,0.9463938116079137,0.09897538398702939,0.8961906846832715,0.015301348976464126,0.9422925990629746,1.1786080066207052e-05,144.34122776985168
9,0.009035878746061342,0.013061429440443004,0.9473493118084316,0.10272625833749771,0.8966863717820682,0.015268353165307065,0.9420809605723485,3.112353591743879e-06,144.8914566040039
10,0.008969154466113478,0.012975317704591103,0.9475779707088415,0.09887043262521426,0.8969297775370089,0.015084126126838097,0.9436040821013888,1e-07,144.15092015266418
