epoch,train_loss,focal_val_loss,focal_val_auc,soundscape_val_loss,soundscape_val_auc,combined_val_loss,combined_val_auc,lr,time_s
1,0.03532826807664556,0.013489723071321711,0.9478382955394161,0.14466005563735962,0.7261618692859056,0.015855787008737042,0.9452577780929418,0.0001,144.90866255760193
2,0.013785738295032265,0.014251079527778668,0.94571978941287,0.13933655619621277,0.8327249234267313,0.0165251167903168,0.9366644045335952,9.698764640825613e-05,144.49942302703857
3,0.011533758833769473,0.014466600400303398,0.9427264895818818,0.1654716059565544,0.7695843388909931,0.017211177369859894,0.9250292891257279,8.831391993379294e-05,144.42360734939575
4,0.011087277104977417,0.014248629062864426,0.9462678384353137,0.15111815184354782,0.7944301497418123,0.016733651473887463,0.9374437284687517,7.5025e-05,144.3455514907837
5,0.010540184654559739,0.013785994578119333,0.9467295349710237,0.1674511358141899,0.7973974857096839,0.016575728518377363,0.9252393532963513,5.8723726474463174e-05,144.6130495071411
6,0.010160424789573226,0.013824165706430469,0.9493043956910739,0.17613974586129189,0.7788484391082696,0.016773232069295065,0.9343671029079075,4.137627352553683e-05,144.98080396652222
7,0.00970713428073764,0.01345588404030816,0.9517210050779251,0.157756507396698,0.8317353714868504,0.016075718467972712,0.9404238723194426,2.5075000000000006e-05,144.61340641975403
8,0.009256842718952595,0.01307498083475071,0.9531136437931217,0.1577465869486332,0.8271438851016507,0.015699729723114092,0.943412387827772,1.1786080066207052e-05,144.54069423675537
9,0.008953427868635134,0.013125974097633147,0.9544784752243642,0.16541516780853271,0.8182805312651458,0.015890739800457934,0.943164505516688,3.112353591743879e-06,144.4713270664215
10,0.008856445600211553,0.012945587432162987,0.9546553468049416,0.16575804725289345,0.8185639711057514,0.01572045413942068,0.9421678745765727,1e-07,144.89202785491943
